,Trademark.Cultivar,Month,species1,days_present,Date,days_possible,Color,Flower type
84,Tickled Pink,August,Apis_mellifera,3,10/19/2019,,Pink-white,Lacy panicle
85,Tickled Pink,September,Diptera,1,8/19/2020,,Pink-white,Lacy panicle
86,Unique,August,Bombus_impatiens,1,9/2/2020,,White,Lacy panicle
87,Unique,October,Apis_mellifera,1,8/29/2019,,White,Lacy panicle
88,Vanilla Strawberry,August,Bombus_impatiens,4,10/14/2020,,Pink-white,Mop-like panicle
89,Vanilla Strawberry,September,Andrena_milwaukeensis,1,8/21/2020,,Pink-white,Mop-like panicle
90,White Diamonds,July,Apis_mellifera,2,9/21/2020,,White,Mop-like panicle
91,White Diamonds,August,Apis_mellifera,1,7/27/2020,,White,Mop-like panicle
92,White Diamonds,September,Apis_mellifera,1,8/2/2019,,White,Mop-like panicle
93,White Moth,July,Lepidoptera,1,9/30/2019,,White,Lacy panicle
94,White Moth,August,Apis_mellifera,1,7/31/2019,,White,Lacy panicle
