Cultivar,BugType,RelativeAbundance,Species,Flower Type,Inflorescence Type
Annabelle,Hymenoptera,0,Hydrangea arborescens,Mop,Dense
Baby Lace,Hymenoptera,11,Hydrangea paniculata,Lacy panicle,Open
Bella Anna,Hymenoptera,0,Hydrangea arborescens,Mop,Half-open
Berry White,Hymenoptera,2,Hydrangea paniculata,Mop-like panicle,Half-open
Big Ben,Hymenoptera,15,Hydrangea paniculata,Lacy panicle,Dense
Bobo,Hymenoptera,7,Hydrangea paniculata,Mop-like panicle,Half-open
Bounty,Hymenoptera,6,Hydrangea arborescens,Mop,Half-open
Brussels Lace,Hymenoptera,34,Hydrangea paniculata,Lacy panicle,Open
Candy Apple,Hymenoptera,10.66666667,Hydrangea paniculata,Mop-like panicle,Dense
Daimond Rogue,Hymenoptera,9,Hydrangea paniculata,Mop-like panicle,Half-open
Dharuma,Hymenoptera,29,Hydrangea paniculata,Lacy panicle,Open
Dolly,Hymenoptera,16,Hydrangea paniculata,Lacy panicle,Dense
Early Evolution,Hymenoptera,0.5,Hydrangea paniculata,Lacy panicle,Dense
Fire & Ice,Hymenoptera,23,Hydrangea paniculata,Lacy panicle,Open
Fire Light,Hymenoptera,13.33333333,Hydrangea paniculata,Mop-like panicle,Dense
Floribunda,Hymenoptera,16,Hydrangea paniculata,Lacy panicle,Open
Great Star,Hymenoptera,21,Hydrangea paniculata,Lacy panicle,Very dense
Green Spire,Hymenoptera,79,Hydrangea paniculata,Lacy panicle,Open
Haas Halo,Hymenoptera,30,Hydrangea arborescens,Lacy,Open
Hayes Starburst,Hymenoptera,0,Hydrangea arborescens,Mop,Very dense
Honey Comb,Hymenoptera,48,Hydrangea paniculata,Lacy panicle,Open
Incrediball,Hymenoptera,2.25,Hydrangea arborescens,Mop,Dense
Invincibelle Ruby,Hymenoptera,2,Hydrangea arborescens,Mop,Very dense
Invincibelle Mini Mauvette,Hymenoptera,0,Hydrangea arborescens,Mop,Dense
Invincibelle Spirit II,Hymenoptera,1.5,Hydrangea arborescens,Mop,Dense
Invincibelle Wee White,Hymenoptera,0,Hydrangea arborescens,Mop,Dense
Kyushu,Hymenoptera,41,Hydrangea paniculata,Lacy panicle,Open
Lime Rickey,Hymenoptera,0,Hydrangea arborescens,Mop,Half-open
Limelight,Hymenoptera,18,Hydrangea paniculata,Mop-like panicle,Very dense
Limelight Prime,Hymenoptera,3,Hydrangea paniculata,Mop-like panicle,Half-open
Little Lamb,Hymenoptera,18,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime,Hymenoptera,1.5,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime Punch,Hymenoptera,5,Hydrangea paniculata,Mop-like panicle,Half-open
Little Quick Fire,Hymenoptera,13,Hydrangea paniculata,Lacy panicle,Open
Mega Pearl,Hymenoptera,24,Hydrangea paniculata,Mop-like panicle,Dense
Phantom,Hymenoptera,23,Hydrangea paniculata,Mop-like panicle,Half-open
Pillow Talk,Hymenoptera,0,Hydrangea paniculata,Mop-like panicle,Very dense
Pink Diamond,Hymenoptera,57,Hydrangea paniculata,Lacy panicle,Half-open
Pink Lady,Hymenoptera,13,Hydrangea paniculata,Mop-like panicle,Dense
Pink Pincushion,Hymenoptera,2,Hydrangea arborescens,Lacy,Half-open
Pinky Winky,Hymenoptera,19.66666667,Hydrangea paniculata,Lacy panicle,Half-open
Polar Ball,Hymenoptera,4,Hydrangea paniculata,Mop-like panicle,Very dense
Puffer Fish,Hymenoptera,17,Hydrangea paniculata,Mop-like panicle,Half-open
Quick Fire,Hymenoptera,15.33333333,Hydrangea paniculata,Lacy panicle,Open
Quick Fire Fabulous,Hymenoptera,8,Hydrangea paniculata,Mop-like panicle,Dense
Riven Lace,Hymenoptera,0,Hydrangea arborescens,Lacy,Half-open
Ruby,Hymenoptera,23,Hydrangea paniculata,Mop-like panicle,Half-open
Ryan Gainey,Hymenoptera,1,Hydrangea arborescens,Mop,Dense
Seaside Serenade Bar Harbor,Hymenoptera,9,Hydrangea arborescens,Mop,Dense
Silver Dollar,Hymenoptera,7,Hydrangea paniculata,Mop-like panicle,Dense
Silver Leaf,Hymenoptera,18,Hydrangea arborescens,Lacy,Open
Strawberry Shake,Hymenoptera,6,Hydrangea paniculata,Mop-like panicle,Very dense
Strawberry Sundae,Hymenoptera,25,Hydrangea paniculata,Mop-like panicle,Open
Sweet Summer,Hymenoptera,18,Hydrangea paniculata,Mop-like panicle,Dense
Tickled Pink,Hymenoptera,17,Hydrangea paniculata,Lacy panicle,Half-open
Vanilla Strawberry,Hymenoptera,17,Hydrangea paniculata,Mop-like panicle,Dense
White Diamonds,Hymenoptera,34,Hydrangea paniculata,Mop-like panicle,Half-open
White Dome,Hymenoptera,48,Hydrangea arborescens,Lacy,Open
Zinfin Doll,Hymenoptera,3,Hydrangea paniculata,Mop-like panicle,Half-open
Annabelle,Butterfly,0,Hydrangea arborescens,Mop,Dense
Baby Lace,Butterfly,1,Hydrangea paniculata,Lacy panicle,Open
Bella Anna,Butterfly,0,Hydrangea arborescens,Mop,Half-open
Berry White,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Big Ben,Butterfly,0,Hydrangea paniculata,Lacy panicle,Dense
Bobo,Butterfly,0.5,Hydrangea paniculata,Mop-like panicle,Half-open
Bounty,Butterfly,0,Hydrangea arborescens,Mop,Half-open
Brussels Lace,Butterfly,0,Hydrangea paniculata,Lacy panicle,Open
Candy Apple,Butterfly,0.333333333,Hydrangea paniculata,Mop-like panicle,Dense
Daimond Rogue,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Dharuma,Butterfly,0.5,Hydrangea paniculata,Lacy panicle,Open
Dolly,Butterfly,0,Hydrangea paniculata,Lacy panicle,Dense
Early Evolution,Butterfly,0,Hydrangea paniculata,Lacy panicle,Dense
Fire & Ice,Butterfly,1,Hydrangea paniculata,Lacy panicle,Open
Fire Light,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Dense
Floribunda,Butterfly,0,Hydrangea paniculata,Lacy panicle,Open
Great Star,Butterfly,0,Hydrangea paniculata,Lacy panicle,Very dense
Green Spire,Butterfly,1,Hydrangea paniculata,Lacy panicle,Open
Haas Halo,Butterfly,0,Hydrangea arborescens,Lacy,Open
Hayes Starburst,Butterfly,0,Hydrangea arborescens,Mop,Very dense
Honey Comb,Butterfly,0,Hydrangea paniculata,Lacy panicle,Open
Incrediball,Butterfly,0,Hydrangea arborescens,Mop,Dense
Invincibelle Ruby,Butterfly,0,Hydrangea arborescens,Mop,Very dense
Invincibelle Mini Mauvette,Butterfly,0,Hydrangea arborescens,Mop,Dense
Invincibelle Spirit II,Butterfly,0,Hydrangea arborescens,Mop,Dense
Invincibelle Wee White,Butterfly,0,Hydrangea arborescens,Mop,Dense
Kyushu,Butterfly,0,Hydrangea paniculata,Lacy panicle,Open
Lime Rickey,Butterfly,0,Hydrangea arborescens,Mop,Half-open
Limelight,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Very dense
Limelight Prime,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Little Lamb,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Very dense
Little Lime Punch,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Little Quick Fire,Butterfly,0.5,Hydrangea paniculata,Lacy panicle,Open
Mega Pearl,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Dense
Phantom,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Pillow Talk,Butterfly,1,Hydrangea paniculata,Mop-like panicle,Very dense
Pink Diamond,Butterfly,0,Hydrangea paniculata,Lacy panicle,Half-open
Pink Lady,Butterfly,0.5,Hydrangea paniculata,Mop-like panicle,Dense
Pink Pincushion,Butterfly,0,Hydrangea arborescens,Lacy,Half-open
Pinky Winky,Butterfly,0,Hydrangea paniculata,Lacy panicle,Half-open
Polar Ball,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Very dense
Puffer Fish,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Quick Fire,Butterfly,0,Hydrangea paniculata,Lacy panicle,Open
Quick Fire Fabulous,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Dense
Riven Lace,Butterfly,0,Hydrangea arborescens,Lacy,Half-open
Ruby,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
Ryan Gainey,Butterfly,0,Hydrangea arborescens,Mop,Dense
Seaside Serenade Bar Harbor,Butterfly,0,Hydrangea arborescens,Mop,Dense
Silver Dollar,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Dense
Silver Leaf,Butterfly,0,Hydrangea arborescens,Lacy,Open
Strawberry Shake,Butterfly,0.5,Hydrangea paniculata,Mop-like panicle,Very dense
Strawberry Sundae,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Open
Sweet Summer,Butterfly,2,Hydrangea paniculata,Mop-like panicle,Dense
Tickled Pink,Butterfly,0,Hydrangea paniculata,Lacy panicle,Half-open
Vanilla Strawberry,Butterfly,1.5,Hydrangea paniculata,Mop-like panicle,Dense
White Diamonds,Butterfly,3,Hydrangea paniculata,Mop-like panicle,Half-open
White Dome,Butterfly,0,Hydrangea arborescens,Lacy,Open
Zinfin Doll,Butterfly,0,Hydrangea paniculata,Mop-like panicle,Half-open
