Trademark.Cultivar,shannon_index (larger is better),Avg Insect Spp Abundance / plant / season ,Total Spp. Insect richness / season,2019_TotalDays_w_Insects,Flower type,Color,BloomStart,BloomEnd,BloomTime,Height (ft),Spread (ft),Sun ,Water,Maintenance,Species,Note,Source
Pillow Talk,0.5493061,4,2,3,Mop-like panicle,Pink-white,,,July - Sept,6 to 8 ,6 to 8,Full sun to part sun ,Medium,N/A,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.bluestoneperennials.com/HYPT.html?srsltid=AfmBOopYXn8coQlzKXiXbK0TBf2_gvYPUJKAD4PVaOm2cjzKmRdmForX
Pink Diamond,1.561319,66,4,2,Lacy panicle,Pink,2020-07-01,2020-09-01,July - Sept,8 to 15,8 to 15,Full sun to part shade,Medium,Medium ,Hydrangea paniculata,,https://www.missouribotanicalgarden.org
Pink Lady,1.0919433,18.5,6,3,Mop-like panicle,Pink-white,,,June - Aug,5 to 8 ,5 to 8 ,Full sun to part shade ,Moist but well-drained,,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.rhs.org.uk/plants/177821/hydrangea-paniculata-pink-lady/details
Pink Pincushion ,0,2,2,3,Lacy,Pink,,,June - July ,5 - 7.5,5 - 7.5,Full sun ,,,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://mtcubacenter.org/trials/wild-hydrangea-for-the-mid-atlantic-region/hydrangea-arborescens-pink-pincushion/
Pinky Winky,1.1124984,24,9,8,Lacy panicle,Pink-white,2020-07-01,2020-09-01,July - Sept,6 to 8 ,5 to 6,Full sun to part shade,Medium,Medium ,Hydrangea paniculata,,https://www.missouribotanicalgarden.org
Polar Ball,0.6770126,8,4,3,Mop-like panicle,White,,,July - Aug,6 to 8 ,6 to 8 ,Full sun to part sun ,N/A,N/A,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://springmeadownursery.com/plantfinder/polar-ball-39350
Puffer Fish,0.8479627,28,5,3,Mop-like panicle,White,,,July - Sept,3 to 5 ,3 to 5 ,Full sun to part sun ,Average,Easy,Hydrangea paniculata,Days blooming 2019 data not available; used median. Estimated bloom time from season. ,https://www.provenwinners.com/plants/hydrangea/puffer-fish-panicle-hydrangea-hydrangea-paniculata
Quick Fire,1.4234023,26,9,11,Lacy panicle,Pink,2020-07-01,2020-10-01,July - Oct,6 to 8 ,6 to 8 ,Full sun to part sun ,N/A,N/A,Hydrangea paniculata,End bloom time wasn't available online; used our data for that ,https://www.petittigardencenter.com/quick-fire-a-panicle-hydrangea-variety-spotlight/
Quick Fire Fabulous,0.7227412,10,3,3,Mop-like panicle,Pink-white,,,July - Aug,6 to 8 ,5 to 8 ,Full sun to part sun ,Average,Easy,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.provenwinners.com/plants/hydrangea/quick-fire-fab-panicle-hydrangea-hydrangea-paniculata
Riven Lace,1.0691665,7,2,3,Lacy,White,,,June - July ,4 to 5,4 to 5 ,Shade,N/A,N/A,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://mtcubacenter.org/trials/wild-hydrangea-for-the-mid-atlantic-region/hydrangea-arborescens-riven-lace/
Ruby / Angel's Blush,1.2143702,31.5,6,3,Mop-like panicle,Pink,2020-07-01,2020-10-01,July - Oct,8 to 12 ,6 to 10 ,Full sun to part sun ,N/A,N/A,Hydrangea paniculata,Exact dates weren't available so used our data ,https://www.monrovia.com/angels-blush-hydrangea.html?srsltid=AfmBOorQcKnkdvItwFKmF1ruxmKdZTR2EsF7335iSOcWRE1LpMs9XAxD
Ryan Gainey,0,1,1,3,Mop,White,,,June - Sept,3 to 4,3 to 4,Part sun,Medium ,Low,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=268004
Seaside Serenade Bar Harbor,0.1500415,11,4,3,Mop,White,,,July - Aug,4,4,Full sun to part sun ,Moist but well-drained,Easy,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://www.monrovia.com/seaside-serenade-bar-harbor-hydrangea.html?srsltid=AfmBOorjBX-ngGMpj2IOO3P2LnuwKPaRge1cPpSIp-Hx4VDT74lDMd2k
Silver Dollar,1.4059249,14,3,3,Mop-like panicle,White,,,July - Sept ,4 to 5,4 to 5 ,Full sun ,Moderate,Easy,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://naturehills.com/products/hydrangea-silver-dollar?srsltid=AfmBOopLf5psua3fxLU4EFq0-ltAXmMKxxJq4vxrsaQsQz3hhXkFV_Pz
Silver Leaf,0.8733112,22,6,3,Lacy,White,,,June,4 to 7 ,4 to 7 ,Part shade,Average to moiste,N/A,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://mtcubacenter.org/plants/silver-leaf-hydrangea/
Strawberry Shake,0.631928,15,9,3,Mop-like panicle,Pink-white,2020-07-01,2020-08-01,July - Aug,4 to 5,4,Full sun to part shade,N/A,N/A,Hydrangea paniculata,Exact dates weren't available so used our data ,https://www.monrovia.com/strawberry-shake-hydrangea.html?srsltid=AfmBOorS12CObULKHM2qOzTYRexOuJVz_6ejDoI829IMDzQKGfBb2NOQ
Strawberry Sundae,1.1696059,37,11,2,Mop-like panicle,Pink-white,2020-07-01,2020-09-01,July - Sept,4 to 5,3 to 4,Full sun to part sun ,Medium,N/A,Hydrangea paniculata,,https://www.southernliving.com/garden/flowers/strawberry-sundae-hydrangea
Sweet Summer,1.4549944,31,4,2,Mop-like panicle,White,,,July - Sept,4 to 5 ,4 to 5,Full sun to part sun ,Moist but well-drained,Medium ,Hydrangea paniculata,,https://shop.arborday.org/sweet-summer-panicle-hydrangea?srsltid=AfmBOoprQWA9nywKj_aCmrC0nY_dBzRMZ_nbRs_UhYo5UPnkLO5vObQU; https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=274640&isprofile=0&pt=4
Tickled Pink,0.9163971,22.5,8,1,Lacy panicle,Pink-white,,,July - Sept,4 to 5,1 to 4,Full sun ,Medium,N/A,Hydrangea paniculata,Estimated bloom time based on season ,https://naturehills.com/products/tickled-pink-hydrangea?srsltid=AfmBOooyK4vUvBE_2EEg8atN8iMZ6X7qVCQwk_aP7t0Axlrhzbc_97SE
Vanilla Strawberry,0.9056212,25,8,3,Mop-like panicle,Pink-white,,,July - Sept,6 to 7,5 to 6 ,Full sun to part sun ,,N/A,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.whiteflowerfarm.com/63149-product.html?srsltid=AfmBOorZw8M_zv92mAumxoOuQzlA9bX9M5jvDs7JhNiUl_TZYJXjr4_j
White Diamonds,1.0286422,50,7,3,Mop-like panicle,White,,,July - Sept,4 to 6 ,5,Full sun to part shade,,Medium ,Hydrangea paniculata,Bloom time estimated from season ,https://firsteditionsplants.com/product/white-diamonds-panicle-hydrangea/
White Dome,0.7926512,54,4,3,Lacy,White,2020-06-01,2020-08-01,June - Aug,3 to 5,3 to 4,Part shade,Medium,Easy,Hydrangea arborescens,Days blooming 2019 data not available; used median,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=264083&isprofile=0&
Zinfin Doll,0.5364793,5,3,3,Mop-like panicle,,,,July ,4 to 6 ,4 to 6 ,Full sun to part sun ,Medium,Easy,Hydrangea paniculata,Days blooming 2019 data not available; used median,https://www.provenwinners.com/plants/hydrangea/zinfin-doll-panicle-hydrangea-hydrangea-paniculata
