Cultivar,BugType,RelativeAbundance,Species,Flower Type 2,Flower Shape,Inflorescence Type
Early Evolution,Fly,1,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Fire & Ice,Fly,11,Hydrangea paniculata,Lacy panicle,Lacy,Open
Fire Light,Fly,9.666666667,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Floribunda,Fly,1,Hydrangea paniculata,Lacy panicle,Lacy,Open
Great Star,Fly,4.5,Hydrangea paniculata,Lacy panicle,Lacy,Very dense
Green Spire,Fly,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Haas Halo,Fly,3,Hydrangea arborescens,Lacy,Lacy,Open
Hayes Starburst,Fly,2,Hydrangea arborescens,Mop,Mop,Very dense
Honey Comb,Fly,2,Hydrangea paniculata,Lacy panicle,Lacy,Open
Incrediball,Fly,1.5,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Ruby,Fly,4,Hydrangea arborescens,Mop,Mop,Very dense
Invincibelle Mini Mauvette,Fly,0,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Spirit II,Fly,1,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Wee White,Fly,0,Hydrangea arborescens,Mop,Mop,Dense
Kyushu,Fly,13,Hydrangea paniculata,Lacy panicle,Lacy,Open
Lime Rickey,Fly,0,Hydrangea arborescens,Mop,Mop,Half-open
Limelight,Fly,4.5,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Limelight Prime,Fly,8,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Little Lamb,Fly,5,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Little Lime,Fly,3.5,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Little Lime Punch,Fly,1,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Little Quick Fire,Fly,7,Hydrangea paniculata,Lacy panicle,Lacy,Open
Mega Pearl,Fly,11,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Phantom,Fly,3,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Pillow Talk,Fly,3,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Pink Diamond,Fly,5,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Pink Lady,Fly,5,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Pink Pincushion,Fly,0,Hydrangea arborescens,Lacy,Lacy,Half-open
Pinky Winky,Fly,4.333333333,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Polar Ball,Fly,4,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Puffer Fish,Fly,11,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Quick Fire,Fly,10.66666667,Hydrangea paniculata,Lacy panicle,Lacy,Open
Quick Fire Fabulous,Fly,2,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Riven Lace,Fly,6,Hydrangea arborescens,Lacy,Lacy,Half-open
Ruby,Fly,8.5,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Ryan Gainey,Fly,0,Hydrangea arborescens,Mop,Mop,Dense
Seaside Serenade Bar Harbor,Fly,2,Hydrangea arborescens,Mop,Mop,Dense
Silver Dollar,Fly,7,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Silver Leaf,Fly,3.5,Hydrangea arborescens,Lacy,Lacy,Open
Strawberry Shake,Fly,8.5,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Strawberry Sundae,Fly,10,Hydrangea paniculata,Mop-like panicle,Mop,Open
Sweet Summer,Fly,11,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Tickled Pink,Fly,5,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Vanilla Strawberry,Fly,6.5,Hydrangea paniculata,Mop-like panicle,Mop,Dense
White Diamonds,Fly,7,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
White Dome,Fly,4,Hydrangea arborescens,Lacy,Lacy,Open
Zinfin Doll,Fly,2,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Annabelle,TrueBug,0,Hydrangea arborescens,Mop,Mop,Dense
Baby Lace,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Bella Anna,TrueBug,0,Hydrangea arborescens,Mop,Mop,Half-open
Berry White,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Big Ben,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Bobo,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Bounty,TrueBug,1,Hydrangea arborescens,Mop,Mop,Half-open
Brussels Lace,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Candy Apple,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Daimond Rogue,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Dharuma,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Dolly,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Early Evolution,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Dense
Fire & Ice,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Fire Light,TrueBug,1,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Floribunda,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Great Star,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Very dense
Green Spire,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Haas Halo,TrueBug,0,Hydrangea arborescens,Lacy,Lacy,Open
Hayes Starburst,TrueBug,0,Hydrangea arborescens,Mop,Mop,Very dense
Honey Comb,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Incrediball,TrueBug,0,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Ruby,TrueBug,0,Hydrangea arborescens,Mop,Mop,Very dense
Invincibelle Mini Mauvette,TrueBug,0,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Spirit II,TrueBug,0,Hydrangea arborescens,Mop,Mop,Dense
Invincibelle Wee White,TrueBug,0,Hydrangea arborescens,Mop,Mop,Dense
Kyushu,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Lime Rickey,TrueBug,0,Hydrangea arborescens,Mop,Mop,Half-open
Limelight,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Limelight Prime,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Little Lamb,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Little Lime,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Little Lime Punch,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Little Quick Fire,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Mega Pearl,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Phantom,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Pillow Talk,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Pink Diamond,TrueBug,1,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Pink Lady,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Pink Pincushion,TrueBug,0,Hydrangea arborescens,Lacy,Lacy,Half-open
Pinky Winky,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Polar Ball,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Puffer Fish,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Quick Fire,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Open
Quick Fire Fabulous,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Riven Lace,TrueBug,1,Hydrangea arborescens,Lacy,Lacy,Half-open
Ruby,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Ryan Gainey,TrueBug,0,Hydrangea arborescens,Mop,Mop,Dense
Seaside Serenade Bar Harbor,TrueBug,0,Hydrangea arborescens,Mop,Mop,Dense
Silver Dollar,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Silver Leaf,TrueBug,0,Hydrangea arborescens,Lacy,Lacy,Open
Strawberry Shake,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Very dense
Strawberry Sundae,TrueBug,0.5,Hydrangea paniculata,Mop-like panicle,Mop,Open
Sweet Summer,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
Tickled Pink,TrueBug,0,Hydrangea paniculata,Lacy panicle,Lacy,Half-open
Vanilla Strawberry,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Dense
White Diamonds,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
White Dome,TrueBug,1,Hydrangea arborescens,Lacy,Lacy,Open
Zinfin Doll,TrueBug,0,Hydrangea paniculata,Mop-like panicle,Mop,Half-open
Annabelle,Hymenoptera,0,Hydrangea arborescens,Mop,Mop,Dense
