,Trademark.Cultivar,Month,DaysinMonth,DaysRecordedInsectsPresent,DaysRecordedBlooming,AvgDaysInsects,AvgDaysBlooming,FirstDay20197.17.2019,LastDay2019,DaysPossible2019,FirstDay2020,LastDay2020,DaysPossible2020,FirstDay2021,LastDay2021(only surveyed til8/19/2021),DaysPossible2021,Color,Flower type,Notes
28,Great Star,October,30,5,34,1.666666667,17,10/1/2019,10/15/2019,14,10/1/2020,10/21/2020,20,,,0,White,Lacy panicle,
29,Green Spire,August,31,10,24,3.333333333,8,,,0,8/21/2020,8/31/2020,10,8/5/2021,8/19/2021,14,Green-white,Lacy panicle,
30,Green Spire,September,30,10,40,3.333333333,13.33333333,9/19/2019,9/30/2019,11,9/1/2020,9/30/2020,29,,,0,Green-white,Lacy panicle,
31,Green Spire,October,30,3,36,1,18,10/1/2019,10/19/2019,18,10/1/2020,10/19/2020,18,,,0,Green-white,Lacy panicle,
32,Honey Comb,August,31,12,32,4,10.66666667,8/19/2019,8/30/2019,11,8/19/2020,8/31/2020,12,8/10/2021,8/19/2021,9,White,Lacy panicle,
33,Honey Comb,September,30,3,30,1,10,9/1/2019,9/30/2019,29,9/1/2020,9/2/2020,1,,,0,White,Lacy panicle,
34,Honey Comb,October,30,1,18,0.333333333,9,10/1/2019,10/19/2019,18,,,0,,,0,White,Lacy panicle,
35,Kyushu,August,31,5,13,1.666666667,4.333333333,,,0,8/19/2020,8/31/2020,12,8/5/2021,8/6/2021,1,White,Lacy panicle,
36,Kyushu,September,30,9,40,3,13.33333333,9/19/2019,9/30/2019,11,9/1/2020,9/30/2020,29,,,0,White,Lacy panicle,
37,Kyushu,October,30,5,38,1.666666667,19,10/1/2019,10/19/2019,18,10/1/2020,10/21/2020,20,,,0,White,Lacy panicle,
39,Late,July,31,3,21,1,7,,,0,7/10/2020,7/31/2020,21,,,0,White,Lacy panicle,
40,Late,August,31,8,32,2.666666667,10.66666667,,,0,8/1/2020,8/31/2020,30,8/17/2021,8/19/2021,2,White,Lacy panicle,
41,Late,September,30,7,36,2.333333333,12,9/23/2019,9/30/2019,7,9/1/2020,9/30/2020,29,,,0,White,Lacy panicle,
,Late,October,30,10,38,3.333333333,19,10/1/2019,10/19/2019,18,10/1/2020,10/21/2020,20,,,0,,,Added by hand -- the aggregated table missed it because the tag number wasn't one of the normal ones
42,Limelight,August,31,4,14,1.333333333,4.666666667,8/29/2019,8/31/2019,2,8/26/2020,8/31/2020,5,8/12/2021,8/19/2021,7,Green-white,Mop-like panicle,
43,Limelight,September,30,1,46,0.333333333,15.33333333,9/1/2019,9/19/2019,18,9/2/2020,9/30/2020,28,,,0,Green-white,Mop-like panicle,
44,Little Lamb,August,31,4,21,1.333333333,7,8/23/2019,8/31/2019,8,8/19/2020,8/31/2020,12,8/5/2021,8/6/2021,1,White,Mop-like panicle,
45,Little Lamb,September,30,1,46,0.333333333,15.33333333,9/1/2019,9/30/2019,29,9/1/2020,9/18/2020,17,,,0,White,Mop-like panicle,
46,Little Lamb,October,30,1,18,0.333333333,9,10/1/2019,10/19/2019,18,,,0,,,0,White,Mop-like panicle,
47,Little Lime,August,31,1,1,0.333333333,0.333333333,,,0,,,0,8/5/2021,8/6/2021,1,Green-white,Mop-like panicle,
48,Little Quick Fire,July,31,2,21,0.666666667,7,7/22/2019,7/31/2019,9,,,0,7/19/2021,7/31/2021,12,Pink,Lacy panicle,
49,Little Quick Fire,August,31,5,46,1.666666667,15.33333333,8/1/2019,8/31/2019,30,8/19/2020,8/31/2020,12,8/1/2021,8/5/2021,4,Pink,Lacy panicle,
50,Little Quick Fire,September,30,3,49,1,16.33333333,9/1/2019,9/30/2019,29,9/1/2020,9/21/2020,20,,,0,Pink,Lacy panicle,
51,Little Quick Fire,October,30,2,18,0.666666667,9,10/1/2019,10/19/2019,18,,,0,,,0,Pink,Lacy panicle,
52,Mega Mindy,August,31,5,20,1.666666667,6.666666667,8/23/2019,8/31/2019,8,8/19/2020,8/31/2020,12,,,0,Pink,Lacy panicle,
53,Mega Mindy,September,30,1,5,0.333333333,1.666666667,9/1/2019,9/5/2019,4,9/1/2020,9/2/2020,1,,,0,Pink,Lacy panicle,
54,Mega Pearl,August,31,10,29,3.333333333,9.666666667,8/23/2019,8/31/2019,8,8/19/2020,8/31/2020,12,8/10/2021,8/19/2021,9,Pink-white,Mop-like panicle,
55,Mega Pearl,September,30,3,58,1,19.33333333,9/1/2019,9/30/2019,29,9/1/2020,9/30/2020,29,,,0,Pink-white,Mop-like panicle,
