original_image_file,cropped_image_file,det_num,det_confidence,species1,prob1,species2,prob2,species3,prob3,entropy,classification_precision
Braatz_images\20-07-10_done\A11\Q7106684.JPG,Q7106684_1.jpg,1,0.7740,Diptera,98.4,Syrphidae,1.5,Coleoptera,0.0,0.0851,0.9755
Braatz_images\20-07-10_done\A11\Q7106685.JPG,Q7106685_1.jpg,1,0.6693,Syrphidae,93.2,Halictus,2.0,Wasp,1.8,0.4115,0.9836
Braatz_images\20-07-10_done\A11\Q7106685.JPG,Q7106685_2.jpg,2,0.2566,Meliponini,71.7,Hylaeus_leptocephalus,21.1,Bombus_diversus,2.8,0.9288,0.9634
Braatz_images\20-07-10_done\A11\Q7106686.JPG,Q7106686_1.jpg,1,0.7255,Syrphidae,99.1,Diptera,0.4,Coleoptera,0.2,0.0641,0.9836
Braatz_images\20-07-10_done\A11\Q7106687.JPG,Q7106687_1.jpg,1,0.6338,Syrphidae,99.8,Diptera,0.1,Coleoptera,0.0,0.0177,0.9836
Braatz_images\20-07-10_done\A11\Q7106688.JPG,Q7106688_1.jpg,1,0.6201,Hylaeus,86.1,Hylaeus_leptocephalus,6.2,Hylaeus_modestus,3.3,0.6483,0.9337
Braatz_images\20-07-10_done\A11\Q7106689.JPG,Q7106689_1.jpg,1,0.2530,Coleoptera,14.2,Bombus_ardens,10.7,Andrena_milwaukeensis,7.8,3.7171,0.9916
Braatz_images\20-07-10_done\A11\Q7106690.JPG,Q7106690_1.jpg,1,0.7265,Syrphidae,96.0,Diptera,2.2,Bombus_ardens,0.7,0.2283,0.9836
Braatz_images\20-07-10_done\A11\Q7106691.JPG,Q7106691_1.jpg,1,0.6908,Syrphidae,98.7,Coleoptera,0.5,Diptera,0.5,0.0865,0.9836
Braatz_images\20-07-10_done\A11\Q7106692.JPG,Q7106692_1.jpg,1,0.6987,Syrphidae,78.4,Coleoptera,10.6,Diptera,8.9,0.7728,0.9836
Braatz_images\20-07-10_done\A11\Q7106692.JPG,Q7106692_2.jpg,2,0.6909,Syrphidae,99.0,Diptera,0.7,Coleoptera,0.2,0.0658,0.9836
Braatz_images\20-07-10_done\A11\Q7106693.JPG,Q7106693_1.jpg,1,0.7067,Syrphidae,68.5,Apis_cerana,10.9,Halictus,8.4,1.2956,0.9836
Braatz_images\20-07-10_done\A11\Q7106693.JPG,Q7106693_2.jpg,2,0.5652,Bombus_occidentalis,44.3,Bombus_pratorum,10.1,Bombus_hypnorum,9.4,2.1778,0.9127
Braatz_images\20-07-10_done\A11\Q7106694.JPG,Q7106694_1.jpg,1,0.6966,Syrphidae,33.5,Wasp,27.2,Hylaeus_modestus,23.7,1.5066,0.9836
Braatz_images\20-07-10_done\A11\Q7106695.JPG,Q7106695_1.jpg,1,0.7476,Hylaeus_modestus,29.5,Meliponini,14.4,Halictus_rubicundus,14.3,2.4287,0.8886
Braatz_images\20-07-10_done\A11\Q7106696.JPG,Q7106696_1.jpg,1,0.8007,Diptera,90.8,Syrphidae,9.0,Coleoptera,0.1,0.3155,0.9755
Braatz_images\20-07-10_done\A11\Q7106697.JPG,Q7106697_1.jpg,1,0.7691,Diptera,96.3,Syrphidae,3.4,Coleoptera,0.3,0.1690,0.9755
Braatz_images\20-07-10_done\A11\Q7106698.JPG,Q7106698_1.jpg,1,0.7041,Syrphidae,82.9,Diptera,16.5,Xylocopa_tabaniformis,0.2,0.4987,0.9836
Braatz_images\20-07-10_done\A11\Q7106699.JPG,Q7106699_1.jpg,1,0.5254,Hylaeus,90.4,Hylaeus_modestus,9.2,Hylaeus_leptocephalus,0.3,0.3395,0.9337
Braatz_images\20-07-10_done\A11\Q7106699.JPG,Q7106699_2.jpg,2,0.2534,Meliponini,55.1,Syrphidae,22.4,Coleoptera,5.1,1.5278,0.9634
Braatz_images\20-07-10_done\A11\Q7106700.JPG,Q7106700_1.jpg,1,0.6359,Halictus,68.7,Halictus_tripartitus,21.6,Lasioglossum,9.1,0.8495,0.8217
Braatz_images\20-07-10_done\A11\Q7106701.JPG,Q7106701_1.jpg,1,0.3450,Halictus,88.1,Halictus_tripartitus,11.6,Lasioglossum,0.3,0.3795,0.8217
Braatz_images\20-07-10_done\A11\Q7106701.JPG,Q7106701_2.jpg,2,0.3436,Coleoptera,63.4,Lepidoptera,25.5,Xylocopa_latipes,2.9,1.2514,0.9916
Braatz_images\20-07-10_done\A11\Q7106702.JPG,Q7106702_1.jpg,1,0.6181,Halictus_tripartitus,75.3,Lasioglossum,13.6,Halictus,10.9,0.7368,0.7959
Braatz_images\20-07-10_done\A11\Q7106703.JPG,Q7106703_1.jpg,1,0.6241,Lasioglossum,47.5,Halictus,36.7,Halictus_tripartitus,9.5,1.1985,0.9521
Braatz_images\20-07-10_done\A11\Q7106703.JPG,Q7106703_2.jpg,2,0.3663,Syrphidae,56.9,Hylaeus_leptocephalus,9.9,Pseudapis,6.9,1.7406,0.9836
Braatz_images\20-07-10_done\A11\Q7106704.JPG,Q7106704_1.jpg,1,0.7833,Apis_mellifera,99.8,Augochloropsis,0.0,Apis_cerana,0.0,0.0206,0.9707
